Category_Technology,Category_Office Supplies,Category_Furniture,City,Sales
1,0,0,philadelphia,1013.0622227330524
0,1,0,,833.395825918746
0,0,1,denver,833.2532410733123
1,0,0,washington,874.5928525672341
0,0,1,washington,812.4559847327309
1,0,0,columbus,930.9798866022388
1,0,0,new york,881.613894451202
1,0,0,san jose,994.2589490794298
1,0,0,charlotte,854.485733298393
1,0,0,houston,792.246545957046
1,0,0,austin,1011.0112126822632
1,0,0,charlotte,937.5782533283408
1,0,0,washington,799.2321241083796
1,0,0,new york,913.0646165740684
1,0,0,charlotte,971.0667162639214
1,0,0,denver,838.6530414343208
0,0,1,dallas,903.4555484370546
0,0,1,dallas,894.8717053957708
1,0,0,dallas,868.6081400192465
1,0,0,indianapolis,900.1187652409648
1,0,0,jacksonville,782.064809388072
1,0,0,fort worth,919.667951644864
1,0,0,san diego,865.670674563198
1,0,0,charlotte,
1,0,0,seattle,808.7367476079223
1,0,0,new york,787.872405511068
0,0,1,new york,885.0162770450221
1,0,0,jacksonville,925.5572354642428
0,0,1,philadelphia,884.707017869527
1,0,0,dallas,920.7449518369104
1,0,0,phoenix,929.2509285395414
0,1,0,charlotte,887.1824720744312
1,0,0,seattle,873.8845486551054
0,1,0,indianapolis,758.0018435566353
1,0,0,seattle,852.5901546116178
1,0,0,new york,843.0091185599468
0,1,0,denver,786.2048090476312
1,0,0,san diego,955.2389483380624
0,1,0,chicago,751.2937942609694
1,0,0,phoenix,882.7229877865728
0,1,0,san diego,943.5623522455616
0,1,0,denver,760.8348329115619
1,0,0,seattle,913.6070414703702
1,0,0,seattle,834.9335100793709
0,1,0,new york,841.7616774492217
1,0,0,san francisco,967.3947631579302
1,0,0,seattle,812.5982571179843
1,0,0,san antonio,910.8807186187292
0,0,1,charlotte,911.978151469018
0,1,0,charlotte,990.422340827342
0,1,0,san francisco,871.1806903563947
0,0,1,philadelphia,850.4610793015414
0,0,1,dallas,791.5973910225363
0,1,0,san antonio,771.3502992409701
0,0,1,columbus,848.5838188425463
0,1,0,austin,940.6104440382202
0,1,0,charlotte,876.458701627516
1,0,0,philadelphia,998.0583118218914
0,0,1,charlotte,887.7845647828428
1,0,0,washington,893.7903849079736
1,0,0,charlotte,947.4041082992748
1,0,0,jacksonville,811.962023433468
0,0,1,indianapolis,835.5435354567559
0,0,1,phoenix,908.5073789194194
0,0,1,fort worth,760.1401228407622
0,0,1,san diego,952.2692662552
1,0,0,phoenix,920.6773005269142
0,0,1,jacksonville,874.4550657219418
0,1,0,dallas,759.8725904724918
0,0,1,chicago,899.178860942879
0,0,1,chicago,810.1206043135717
0,0,1,new york,747.2685955694874
1,0,0,seattle,938.5001057109548
0,0,1,jacksonville,920.9771993844868
1,0,0,,856.6194301202004
0,0,1,dallas,861.9442404826225
1,0,0,seattle,904.4715802524388
0,1,0,seattle,778.8642022287244
0,0,1,san antonio,908.0380188811018
1,0,0,houston,810.9982005323837
1,0,0,fort worth,866.6247602393559
1,0,0,indianapolis,876.8678363302226
0,1,0,los angeles,814.0544685179351
1,0,0,columbus,841.2296620823065
0,1,0,chicago,874.9802609984342
0,1,0,,922.1122666411056
1,0,0,columbus,929.5206279374794
1,0,0,chicago,943.6606487488932
0,1,0,san antonio,819.4380773868692
0,1,0,seattle,779.4354849284815
1,0,0,fort worth,810.5482112232801
1,0,0,san jose,932.8284206023676
1,0,0,fort worth,814.2988309848002
0,1,0,charlotte,844.5947259288747
0,1,0,dallas,791.8237813066589
0,1,0,los angeles,848.7012449605703
0,1,0,phoenix,903.3176753894428
0,1,0,indianapolis,705.4246177385537
0,0,1,houston,835.4564659401502
1,0,0,indianapolis,921.1928718706856
0,0,1,dallas,815.288243572233
0,1,0,washington,828.887501378777
0,1,0,los angeles,846.7900130050103
1,0,0,seattle,834.7704528743516
0,1,0,austin,971.5868093203936
0,0,1,fort worth,779.2176217925021
1,0,0,san diego,967.8709973912762
0,0,1,new york,877.0611000199292
0,1,0,indianapolis,702.7994049195013
0,1,0,jacksonville,802.9489742253021
0,1,0,houston,796.4458155269605
0,0,1,fort worth,753.269334600765
1,0,0,dallas,882.9808079923156
1,0,0,san antonio,965.6336527184484
1,0,0,phoenix,1011.8620299893552
0,1,0,phoenix,839.146348785768
0,1,0,indianapolis,841.218460795441
0,1,0,dallas,843.2761029175666
1,0,0,philadelphia,985.06139819712
0,0,1,denver,776.0524278366446
0,0,1,charlotte,862.7074088983982
1,0,0,los angeles,921.8772830724556
0,0,1,san jose,991.2256285528416
1,0,0,charlotte,963.6423667111404
1,0,0,phoenix,916.0459078129388
1,0,0,san francisco,940.2461942587996
0,0,1,fort worth,823.7256248091962
0,1,0,fort worth,790.7952493599299
0,0,1,fort worth,788.7360664515055
0,1,0,san francisco,780.5074394281366
0,1,0,columbus,753.5002168163435
0,1,0,san diego,844.9584561408917
0,1,0,austin,845.0302159784444
1,0,0,seattle,927.621218148558
0,0,1,houston,769.9314189529015
1,0,0,san jose,992.875078431736
0,1,0,new york,816.1890585158047
0,1,0,phoenix,875.5771474804405
0,1,0,fort worth,810.8521723379753
1,0,0,new york,856.9271753935406
1,0,0,san diego,954.6321066459174
1,0,0,chicago,883.667265642049
1,0,0,chicago,831.5133076621528
0,0,1,san antonio,770.6483989319458
1,0,0,,766.3419935763346
0,0,1,chicago,
0,1,0,san francisco,820.3064638784202
1,0,0,san diego,903.7615489129088
1,0,0,chicago,876.3606169525262
1,0,0,san antonio,906.979920826899
1,0,0,seattle,927.0835036444396
1,0,0,austin,992.5456200223902
1,0,0,austin,964.1450416867888
1,0,0,indianapolis,869.1710223297032
1,0,0,philadelphia,980.1682344189168
0,1,0,san diego,889.5891475916936
1,0,0,new york,780.7700725586278
1,0,0,san jose,934.4739552525724
0,1,0,denver,802.2630646761728
1,0,0,chicago,927.3951249137548
0,0,1,houston,822.3600041759153
0,0,1,austin,902.7936495747732
1,0,0,san francisco,992.0779853836398
0,0,1,new york,839.8905874961888
0,1,0,dallas,779.5392995088148
0,1,0,austin,928.5892656521478
0,1,0,denver,782.7775567361841
1,0,0,fort worth,911.9915111094596
0,0,1,charlotte,973.8486166699788
1,0,0,houston,832.3764188804952
0,0,1,new york,919.3865906181964
0,1,0,washington,645.8939944536969
0,0,1,fort worth,716.017154609637
0,1,0,new york,746.9892688863848
1,0,0,phoenix,937.8319721862622
1,0,0,phoenix,977.1312345717744
0,1,0,columbus,745.5277731245329
0,0,1,columbus,829.4040805013587
1,0,0,san diego,909.7428663716104
0,1,0,houston,851.2232531969871
0,0,1,san antonio,825.7512170374946
0,1,0,washington,684.8477721719175
1,0,0,denver,914.9500116270052
1,0,0,san francisco,863.3021716694257
1,0,0,houston,846.4168354574878
0,0,1,denver,776.6912274936814
0,0,1,dallas,864.8588049025597
1,0,0,fort worth,796.2862722222635
1,0,0,columbus,740.0404076552013
1,0,0,columbus,944.7858144236648
1,0,0,san jose,980.373540541158
0,1,0,charlotte,924.6322208578622
1,0,0,phoenix,1022.1105986446454
0,0,1,philadelphia,877.1766893103836
1,0,0,los angeles,906.0332498948366
0,0,1,fort worth,840.2694239547777
1,0,0,fort worth,859.5853963901764
1,0,0,denver,843.3924391332104
1,0,0,seattle,887.3174406569252
1,0,0,denver,913.1771435652691
0,1,0,new york,768.0493902456224
1,0,0,san diego,950.0114733801738
0,0,1,CHARLOTTE,938.3446401841048
0,1,0,los angeles,754.7908497414945
0,0,1,san diego,885.0984744757063
0,1,0,philadelphia,796.0664463533703
1,0,0,charlotte,991.0716618472188
0,0,1,austin,956.555859312875
0,1,0,indianapolis,820.0707014548461
0,1,0,denver,711.3654929685374
1,0,0,austin,935.1922964301572
1,0,0,san diego,934.203260353226
1,0,0,houston,827.2037594232278
1,0,0,,865.5561508601995
0,0,1,san diego,842.9151763121777
0,0,1,dallas,842.0100819120314
1,0,0,los angeles,956.3764157320242
0,1,0,charlotte,955.4604247613106
0,1,0,philadelphia,879.2473917145038
0,1,0,denver,787.3247243198896
1,0,0,san diego,968.0391995656896
1,0,0,columbus,777.4720254691624
0,0,1,charlotte,870.0391954245233
1,0,0,jacksonville,899.1281101786259
1,0,0,phoenix,1036.797243410989
1,0,0,denver,890.4880365936826
1,0,0,seattle,914.4849802294508
1,0,0,dallas,866.594398072755
0,0,1,los angeles,874.3397065311754
1,0,0,washington,839.1779699233904
0,1,0,jacksonville,755.0085360234003
0,0,1,los angeles,818.3531500704009
1,0,0,san jose,1035.0240755586472
0,1,0,new york,738.987396460236
0,0,1,houston,781.061145608444
0,0,1,jacksonville,867.5505615912779
1,0,0,dallas,833.9907573740389
1,0,0,houston,862.3081956162097
0,1,0,dallas,789.2902096703408
1,0,0,philadelphia,941.7772945620056
1,0,0,new york,868.0609889831389
1,0,0,san jose,920.8211855035836
1,0,0,columbus,949.1383001771322
0,0,1,seattle,860.8796930311927
0,0,1,philadelphia,870.5678460597201
1,0,0,seattle,904.3159041516836
1,0,0,washington,877.5797081032456
0,1,0,charlotte,758.8380078130385
0,0,1,san francisco,916.0222022171472
1,0,0,charlotte,921.519594385927
0,1,0,san diego,
1,0,0,fort worth,904.7645380485332
1,0,0,austin,905.6585130016376
0,1,0,san antonio,800.2874689600062
0,0,1,indianapolis,860.1309080276774
1,0,0,seattle,886.1123630972277
1,0,0,denver,917.9118667209298
0,1,0,fort worth,746.196559611094
1,0,0,san francisco,895.066738356873
0,0,1,new york,878.5075015105417
1,0,0,charlotte,1001.1695496589994
0,1,0,phoenix,812.7386281260474
0,1,0,chicago,793.7025818205549
0,1,0,san jose,876.3724055332154
1,0,0,denver,813.4133286181669
1,0,0,phoenix,889.4761503279706
0,0,1,san antonio,769.4308167528657
1,0,0,columbus,865.2787957584727
0,0,1,chicago,819.2996698626234
0,0,1,fort worth,840.2289028093828
1,0,0,fort worth,906.0239309791548
1,0,0,san jose,947.3070578445322
0,0,1,los angeles,848.8464326479566
1,0,0,philadelphia,935.0638839506984
1,0,0,san diego,924.3619210403078
0,1,0,houston,799.4254340819139
0,0,1,jacksonville,849.0571420722907
1,0,0,san francisco,957.1662700004266
0,0,1,san diego,917.5890830161812
0,0,1,san antonio,938.8848917656624
1,0,0,columbus,886.4616216013538
0,1,0,denver,732.3784912571264
0,0,1,columbus,861.0616761377978
1,0,0,fort worth,846.3548501574245
1,0,0,new york,910.492581966232
0,1,0,denver,725.859834655818
0,1,0,new york,739.5797074017897
1,0,0,houston,911.8222991748742
1,0,0,san jose,917.371278459284
1,0,0,chicago,923.1123889388016
1,0,0,,898.3015485079723
0,1,0,dallas,782.7148783779384
1,0,0,chicago,777.3677573782685
1,0,0,philadelphia,1047.282956092372
0,0,1,philadelphia,876.2580165713795
1,0,0,jacksonville,941.6576810939588
0,1,0,new york,746.4529599228053
1,0,0,charlotte,932.4418393640758
1,0,0,phoenix,992.4308055956466
1,0,0,dallas,904.9232518388866
0,1,0,san jose,810.7451226403153
0,1,0,fort worth,836.8379560268896
1,0,0,san francisco,888.6977167311964
0,0,1,jacksonville,847.4464333519679
0,0,1,phoenix,894.146118801686
0,1,0,phoenix,803.8618044486225
0,1,0,seattle,834.7612230717535
0,1,0,jacksonville,808.4775347514103
0,1,0,chicago,731.7457577777095
1,0,0,san antonio,963.2066664971628
1,0,0,indianapolis,
0,1,0,denver,762.8188508305035
1,0,0,seattle,986.8259345545572
1,0,0,new york,800.6000104241517
1,0,0,phoenix,877.9398045214524
1,0,0,los angeles,833.199746707978
0,0,1,new york,849.1816616580766
1,0,0,san antonio,898.0478208499861
1,0,0,austin,948.022677380304
0,1,0,austin,814.8791794191674
0,1,0,seattle,881.2625636910849
1,0,0,indianapolis,964.0508985036442
1,0,0,los angeles,947.9452281390768
1,0,0,san antonio,840.6357163577786
1,0,0,san antonio,891.6551571255387
1,0,0,san jose,1009.3730567309858
1,0,0,chicago,869.708532611931
0,1,0,jacksonville,839.1110222783791
1,0,0,chicago,934.3907686289164
1,0,0,austin,1057.35978633461
0,0,1,jacksonville,811.2567420671987
0,1,0,houston,755.0642473515817
0,0,1,charlotte,898.9618344101117
0,1,0,washington,668.9608880018301
1,0,0,seattle,933.07938655286
1,0,0,houston,879.1720900625705
1,0,0,philadelphia,945.6586923447328
1,0,0,san francisco,819.0972254035553
1,0,0,new york,861.793837049525
1,0,0,chicago,908.5563327505556
0,0,1,phoenix,975.8666440057212
1,0,0,indianapolis,828.3710668566337
0,0,1,columbus,885.384817632878
0,1,0,dallas,809.1235458094374
1,0,0,chicago,892.6617040392334
0,1,0,fort worth,700.3223927128395
1,0,0,chicago,809.4952261713397
0,0,1,austin,870.4607018449794
1,0,0,los angeles,886.6806241020014
0,1,0,san francisco,889.037303461806
1,0,0,fort worth,831.8882449799731
1,0,0,denver,897.5625707125606
1,0,0,charlotte,947.7618380942332
1,0,0,seattle,921.6353656434673
1,0,0,san antonio,912.850941710608
0,0,1,fort worth,823.8511564496891
0,1,0,houston,769.4807397950008
0,0,1,dallas,815.5271347314942
1,0,0,san jose,986.723202034858
0,0,1,dallas,889.6957914293337
1,0,0,san antonio,878.2942292321345
1,0,0,san francisco,958.293291146628
0,1,0,san diego,806.7398497179845
0,1,0,denver,740.4503849697688
1,0,0,austin,996.9779680680537
0,1,0,phoenix,841.9420408445885
1,0,0,los angeles,918.9584625282458
1,0,0,san jose,979.2873953805664
1,0,0,charlotte,866.8256407358948
1,0,0,fort worth,885.8792541051716
1,0,0,san diego,847.9449149333764
0,0,1,dallas,759.7559212617125
0,0,1,austin,930.3231872781238
1,0,0,austin,988.829488365814
1,0,0,charlotte,1031.2524728419453
0,1,0,san jose,813.5316206217872
0,0,1,jacksonville,806.9360497862133
1,0,0,philadelphia,996.2182896922178
0,1,0,jacksonville,855.2138729677866
1,0,0,san jose,977.6087396031588
0,1,0,seattle,754.1000525381014
1,0,0,seattle,973.3208511790576
0,1,0,houston,737.8816734884458
1,0,0,dallas,866.4399687368048
0,1,0,san antonio,744.2076305395798
0,0,1,,884.204383747327
1,0,0,san diego,962.6302794690296
0,0,1,austin,876.7084493304927
1,0,0,san antonio,1003.5603529527832
0,1,0,dallas,748.6435806388828
1,0,0,san diego,951.2627239398032
0,1,0,chicago,783.1824602646104
1,0,0,indianapolis,762.7221902519738
0,0,1,los angeles,880.1951741772417
1,0,0,san francisco,921.7062323085128
0,1,0,columbus,691.680866802761
1,0,0,seattle,974.2666636849772
1,0,0,charlotte,993.9094214930724
1,0,0,washington,930.9700566710652
0,0,1,houston,715.1946393614437
1,0,0,washington,848.4783851858834
0,1,0,philadelphia,932.030125300075
1,0,0,philadelphia,894.5854322017898
0,1,0,austin,
1,0,0,indianapolis,884.3250786280297
0,1,0,chicago,677.2709835120615
0,0,1,fort worth,748.9305121667949
1,0,0,chicago,941.104211749879
0,0,1,charlotte,923.989730314508
0,0,1,san francisco,907.8350046829688
1,0,0,austin,971.1047797947424
0,0,1,seattle,970.7948218497424
0,0,1,san francisco,870.9366141597673
0,0,1,phoenix,972.4889470217448
1,0,0,,958.6956781754848
0,1,0,charlotte,881.536480420917
1,0,0,indianapolis,896.0935388714513
0,0,1,dallas,868.3903229272653
0,0,1,chicago,
0,1,0,washington,769.1372194845974
1,0,0,fort worth,890.095987902025
0,0,1,chicago,847.0631561075103
0,0,1,san antonio,814.747080120548
1,0,0,PHILADELPHIA,984.2480575841367
0,0,1,dallas,844.0386963349205
1,0,0,jacksonville,845.1840921348422
1,0,0,san francisco,944.2963416454348
0,1,0,washington,789.6372311610978
1,0,0,chicago,988.5324656734572
0,1,0,san jose,866.6993243797808
1,0,0,new york,937.8055542016358
1,0,0,denver,885.9562785765443
0,0,1,denver,905.0719763276644
1,0,0,fort worth,816.5009621282197
1,0,0,jacksonville,869.2342997599937
1,0,0,new york,834.2146274265374
1,0,0,denver,855.1041197380071
1,0,0,charlotte,914.763784589625
0,1,0,san francisco,722.6958046372393
1,0,0,charlotte,864.3288248390614
0,1,0,austin,752.1265195501641
1,0,0,philadelphia,1005.8195845281074
0,0,1,austin,889.2280875163632
0,0,1,chicago,760.3123969552369
1,0,0,san francisco,866.0460184143866
1,0,0,new york,854.6048526480428
1,0,0,san antonio,867.7699894921391
0,1,0,new york,861.2775247118636
1,0,0,indianapolis,934.8414451407136
0,0,1,dallas,907.424492430597
0,1,0,fort worth,773.9598193844056
0,0,1,austin,926.0232243469584
1,0,0,washington,836.3692971307516
1,0,0,philadelphia,930.646444688564
0,1,0,new york,782.0862790877103
0,0,1,san antonio,898.6178012573342
1,0,0,jacksonville,953.78840759297
0,0,1,washington,791.7005428466495
1,0,0,denver,796.3633075614811
0,1,0,indianapolis,800.6992493283136
1,0,0,houston,760.0928224235395
0,1,0,chicago,770.0394715505697
1,0,0,new york,885.4652312906688
0,1,0,seattle,779.0606099383041
1,0,0,san francisco,821.7377445745219
1,0,0,san diego,901.7194495489392
0,1,0,new york,863.1271225500809
0,0,1,washington,848.5860800683208
1,0,0,columbus,938.085730101476
0,1,0,houston,690.1399086408871
1,0,0,phoenix,971.785396613866
0,1,0,fort worth,769.4170175849781
1,0,0,san francisco,904.3852725651562
1,0,0,philadelphia,1000.792296637274
1,0,0,new york,888.366125047829
1,0,0,denver,799.5270463250288
1,0,0,fort worth,895.6627024492699
1,0,0,philadelphia,1015.0442139865256
0,1,0,san francisco,864.973948531322
0,0,1,charlotte,989.18264219588
0,0,1,charlotte,944.8216533428696
1,0,0,san jose,910.858144595138
1,0,0,dallas,801.5308082892702
1,0,0,dallas,866.645319677998
1,0,0,indianapolis,909.9735487263506
0,0,1,indianapolis,856.7517534098785
0,0,1,indianapolis,827.6999631131589
1,0,0,jacksonville,892.1720380604391
0,1,0,fort worth,860.186761209984
0,1,0,jacksonville,822.7015937940567
1,0,0,columbus,875.6363461553585
0,1,0,san jose,835.7279488166819
1,0,0,denver,808.5697341145383
0,0,1,los angeles,797.6467992704928
1,0,0,houston,800.5753288591314
1,0,0,denver,873.0476056629382
1,0,0,san antonio,915.0965169734562
1,0,0,san francisco,882.7042618854771
0,0,1,san francisco,885.8238967550978
1,0,0,philadelphia,1063.4587467086246
1,0,0,chicago,830.8326531856
1,0,0,philadelphia,939.2856978390708
0,1,0,charlotte,760.147380414327
1,0,0,los angeles,901.6834582265147
0,0,1,san antonio,859.6189715786624
1,0,0,austin,1006.6395122607196
0,1,0,san antonio,
0,0,1,houston,771.5945351102249
1,0,0,washington,878.6342871152543
0,0,1,san antonio,893.8534179570827
1,0,0,houston,770.1135470437582
1,0,0,jacksonville,944.3445495366024
1,0,0,phoenix,1024.315139335756
0,1,0,denver,786.3727570489963
0,1,0,phoenix,812.272246985904
1,0,0,denver,842.6986730759048
1,0,0,chicago,931.1437247861116
0,0,1,austin,863.0889573172801
1,0,0,san antonio,947.4321853882597
1,0,0,indianapolis,861.461399536342
1,0,0,dallas,886.0096624753486
0,1,0,dallas,736.2114261337595
0,0,1,san jose,934.5332142551072
0,0,1,fort worth,827.9537868557168
1,0,0,san francisco,823.5320704716693
1,0,0,phoenix,958.7778052724816
1,0,0,chicago,902.6948578539988
0,1,0,san diego,800.7358374851804
1,0,0,washington,746.6134724447793
1,0,0,san jose,962.2591637551031
1,0,0,fort worth,938.323396657266
1,0,0,chicago,854.7765255269569
0,1,0,san diego,891.4325541428605
0,1,0,dallas,737.3821221844482
1,0,0,jacksonville,835.9514677136509
0,1,0,austin,861.7448681088705
0,1,0,los angeles,761.8710816132299
1,0,0,seattle,914.4928868930278
1,0,0,dallas,859.3714572867315
0,0,1,los angeles,926.6958522627904
1,0,0,los angeles,880.9166264391353
0,0,1,chicago,826.486848007596
1,0,0,charlotte,1000.8167864221834
0,0,1,denver,856.8158019729024
1,0,0,houston,924.9821347971076
0,1,0,seattle,786.2568366179501
0,1,0,washington,749.0345950430958
0,1,0,seattle,702.3041650401833
1,0,0,san jose,1070.0855745707406
0,1,0,austin,880.0482048616659
0,1,0,indianapolis,801.5904032886104
1,0,0,washington,896.786443745631
1,0,0,charlotte,973.4767441438
0,1,0,washington,786.517629025168
0,1,0,fort worth,737.0168775407874
1,0,0,los angeles,887.8950674630253
1,0,0,los angeles,855.4897099818559
1,0,0,columbus,957.862198186178
1,0,0,houston,879.0740504948177
1,0,0,indianapolis,
0,0,1,fort worth,929.819162297271
1,0,0,houston,780.7921880191376
0,0,1,chicago,871.2614186436518
0,1,0,jacksonville,726.1018161484783
0,1,0,san diego,828.8708744232225
1,0,0,los angeles,918.7364734929764
0,1,0,philadelphia,808.6416925446222
0,1,0,san jose,831.1240832229444
1,0,0,jacksonville,912.0175737888172
0,1,0,san jose,876.8150349520315
0,1,0,san jose,817.081421843274
1,0,0,chicago,837.0984452030149
0,1,0,,694.4279855758045
0,0,1,san jose,857.8538227088432
0,0,1,dallas,809.4289794243263
1,0,0,washington,918.372655634884
1,0,0,denver,914.711653726115
1,0,0,columbus,971.6718347690032
0,1,0,los angeles,824.2132092578023
0,0,1,phoenix,918.4141533858348
1,0,0,washington,893.757317049832
0,1,0,san diego,844.2778008614957
0,1,0,san antonio,735.174319973565
1,0,0,philadelphia,1067.4436693777054
1,0,0,austin,865.4530509019032
0,1,0,jacksonville,851.4381198189274
0,0,1,seattle,850.819348916585
0,0,1,denver,754.5251403922606
1,0,0,san jose,994.5687215035956
1,0,0,columbus,874.0930697549147
1,0,0,chicago,837.8731001929589
1,0,0,seattle,828.9261168109489
0,0,1,san francisco,775.7246435488034
1,0,0,philadelphia,942.45443502754
1,0,0,san jose,948.650594114556
1,0,0,jacksonville,833.4728733580599
1,0,0,san antonio,917.924007382348
1,0,0,indianapolis,810.593189896774
0,1,0,new york,799.011036008795
0,0,1,seattle,909.5689660635828
1,0,0,san francisco,913.4687158098036
0,0,1,denver,804.3082604509783
1,0,0,new york,854.2551481089453
1,0,0,phoenix,1031.304930928761
0,0,1,san francisco,839.3242141237133
0,0,1,chicago,946.5111888389864
1,0,0,new york,821.8482077543937
1,0,0,san diego,934.4953641331044
1,0,0,jacksonville,964.636180498438
0,1,0,denver,724.4931834041197
1,0,0,jacksonville,882.1937825012255
1,0,0,fort worth,896.3073253913217
1,0,0,new york,900.3945123198893
0,1,0,denver,786.9849532110488
1,0,0,philadelphia,1031.0129237304131
1,0,0,san diego,902.6622942923756
0,1,0,houston,822.8512949067369
1,0,0,phoenix,872.9992525300325
1,0,0,san antonio,969.8718772792836
0,1,0,houston,808.3602843788155
1,0,0,washington,830.2764811972979
0,1,0,houston,678.4681912011542
0,1,0,san francisco,
1,0,0,phoenix,979.1901565414632
1,0,0,dallas,861.2450494154789
1,0,0,los angeles,928.0971093978596
1,0,0,san antonio,1012.8871881634884
0,1,0,indianapolis,695.7644030316346
1,0,0,,873.2947448407109
0,0,1,indianapolis,810.5351173241888
1,0,0,washington,834.9915711846226
1,0,0,los angeles,878.9842540797172
1,0,0,austin,1025.3456574745444
0,1,0,los angeles,796.9691837586264
1,0,0,new york,879.5502289602651
1,0,0,los angeles,881.1601227878613
1,0,0,dallas,876.0599415687108
1,0,0,los angeles,916.425073123768
0,1,0,san francisco,938.2294099590788
1,0,0,san jose,981.982874180605
0,0,1,san francisco,907.1347584344758
0,0,1,san jose,927.3199792572326
0,1,0,indianapolis,662.6105334843353
0,0,1,dallas,799.646408314239
0,1,0,seattle,811.9455359004439
0,0,1,houston,837.1707271891694
1,0,0,dallas,888.5114295789263
0,0,1,charlotte,967.0175699885972
0,0,1,houston,728.0007600910402
0,0,1,charlotte,923.4396237808592
1,0,0,denver,925.3981517342733
1,0,0,new york,832.4220001362029
0,0,1,philadelphia,979.029571614165
1,0,0,san jose,1021.4453729642522
0,0,1,charlotte,859.1487673739028
0,1,0,houston,767.8939280554894
1,0,0,fort worth,872.9406995834212
0,0,1,charlotte,912.1818653468772
1,0,0,washington,792.6555388888141
1,0,0,philadelphia,959.8470131932668
0,1,0,austin,854.1852066329317
0,1,0,chicago,687.0849357110058
1,0,0,washington,803.7424181482512
0,0,1,san jose,871.6502303274996
0,1,0,new york,728.5859217375764
0,1,0,washington,785.3135185528051
1,0,0,austin,1007.5755263432454
1,0,0,jacksonville,878.4728426598555
0,1,0,columbus,818.3144783754466
1,0,0,san diego,967.6244230242314
1,0,0,austin,957.7353528477672
1,0,0,houston,871.4021871598089
1,0,0,san antonio,904.8327420914586
1,0,0,san jose,911.8585122902406
0,1,0,denver,721.6620274227598
0,0,1,houston,817.3074080328947
0,1,0,los angeles,796.9335230190816
1,0,0,seattle,934.858650655492
1,0,0,columbus,785.6506463108697
0,0,1,charlotte,838.6714217150967
1,0,0,,885.5887573321774
0,1,0,san jose,876.3326590551937
0,1,0,indianapolis,695.0948450830479
0,0,1,columbus,846.0064582488468
1,0,0,houston,888.6504960532072
1,0,0,denver,934.8124886709692
0,1,0,los angeles,873.2953775820138
0,0,1,san antonio,831.2290172833086
0,0,1,dallas,744.5181003490892
